390,0.692739,0.307260,0.835918
391,0.691853,0.308147,0.829520
392,0.690826,0.309174,0.824813
393,0.689677,0.310323,0.821789
394,0.688423,0.311576,0.820450
395,0.687083,0.312917,0.820806
396,0.685673,0.314326,0.822874
397,0.684214,0.315786,0.826684
398,0.682722,0.317278,0.832271
399,0.681217,0.318782,0.839683
400,0.679719,0.320281,0.848977
401,0.678243,0.321756,0.860095
402,0.676801,0.323199,0.872470
403,0.675399,0.324601,0.885376
404,0.674046,0.325954,0.898051
405,0.672748,0.327252,0.909689
406,0.671492,0.328508,0.919673
407,0.670173,0.329827,0.928282
408,0.668667,0.331332,0.936039
409,0.666847,0.333153,0.943484
410,0.664583,0.335416,0.951173
411,0.661791,0.338209,0.959493
412,0.658563,0.341437,0.968129
413,0.655039,0.344961,0.976579
414,0.651361,0.348639,0.984329
415,0.647673,0.352327,0.990864
416,0.644082,0.355917,0.995739
417,0.640537,0.359463,0.998804
418,0.636942,0.363058,0.999988
419,0.633201,0.366799,0.999220
420,0.629217,0.370782,0.996436
421,0.624928,0.375072,0.991638
422,0.620415,0.379585,0.985080
423,0.615800,0.384200,0.977088
424,0.611206,0.388793,0.967996
425,0.606760,0.393239,0.958140
426,0.602553,0.397446,0.947730
427,0.598531,0.401468,0.936477
428,0.594602,0.405398,0.923978
429,0.590671,0.409329,0.909856
430,0.586644,0.413356,0.893760
431,0.582459,0.417541,0.875585
432,0.578198,0.421802,0.856069
433,0.573980,0.426019,0.836109
434,0.569927,0.430072,0.816538
435,0.566161,0.433839,0.798116
436,0.562771,0.437229,0.781303
437,0.559707,0.440292,0.765592
438,0.556887,0.443113,0.750280
439,0.554224,0.445775,0.734719
440,0.551633,0.448367,0.718311
441,0.549047,0.450953,0.700675
442,0.546481,0.453519,0.682099
443,0.543971,0.456029,0.663006
444,0.541553,0.458446,0.643783
445,0.539265,0.460735,0.624779
446,0.537137,0.462862,0.606183
447,0.535189,0.464811,0.587689
448,0.533433,0.466567,0.568920
449,0.531881,0.468118,0.549551
450,0.530549,0.469451,0.529316
451,0.529435,0.470564,0.508115
452,0.528494,0.471505,0.486290
453,0.527665,0.472335,0.464243
454,0.526887,0.473113,0.442322
455,0.526099,0.473900,0.420820
456,0.525262,0.474737,0.399944
457,0.524415,0.475585,0.379730
458,0.523618,0.476382,0.360177
459,0.522932,0.477067,0.341286
460,0.522419,0.477580,0.323057
461,0.522125,0.477875,0.305474
462,0.522031,0.477969,0.288471
463,0.522104,0.477896,0.271978
464,0.522310,0.477689,0.255945
465,0.522615,0.477385,0.240336
466,0.522992,0.477007,0.225139
467,0.523446,0.476553,0.210397
468,0.523988,0.476011,0.196160
469,0.524630,0.475369,0.182466
470,0.525385,0.474615,0.169348
471,0.526259,0.473741,0.156830
472,0.527241,0.472759,0.144927
473,0.528314,0.471685,0.133650
474,0.529462,0.470537,0.123000
475,0.530668,0.469331,0.112974
476,0.531916,0.468084,0.103571
477,0.533194,0.466805,0.094808
478,0.534494,0.465506,0.086699
479,0.535804,0.464195,0.079239
480,0.537116,0.462884,0.072414
481,0.538423,0.461577,0.066194
482,0.539732,0.460268,0.060512
483,0.541053,0.458946,0.055307
484,0.542398,0.457601,0.050525
485,0.543778,0.456221,0.046121
486,0.545201,0.454798,0.042061
487,0.546664,0.453336,0.038327
488,0.548158,0.451841,0.034904
489,0.549677,0.450323,0.031777
490,0.551212,0.448788,0.028925
491,0.552758,0.447242,0.026331
492,0.554318,0.445682,0.023971
493,0.555900,0.444100,0.021826
494,0.557512,0.442488,0.019875
495,0.559162,0.440838,0.018102
496,0.560853,0.439146,0.016488
497,0.562573,0.437427,0.015013
498,0.564300,0.435699,0.013655
499,0.566017,0.433983,0.012399
500,0.567702,0.432298,0.011234
501,0.569342,0.430658,0.010149
502,0.570943,0.429056,0.009142
503,0.572520,0.427480,0.008211
504,0.574084,0.425916,0.007352
505,0.575650,0.424350,0.006563
506,0.577229,0.422771,0.005842
507,0.578831,0.421169,0.005192
508,0.580463,0.419537,0.004613
509,0.582133,0.417866,0.004104
510,0.583850,0.416150,0.003661
511,0.585614,0.414385,0.003278
512,0.587407,0.412593,0.002944
513,0.589201,0.410799,0.002649
514,0.590971,0.409029,0.002385
515,0.592690,0.407310,0.002146
516,0.594342,0.405658,0.001929
517,0.595946,0.404054,0.001732
518,0.597531,0.402469,0.001555
519,0.599126,0.400874,0.001397
520,0.600760,0.399240,0.001256
521,0.602454,0.397546,0.001131
522,0.604204,0.395795,0.001020
523,0.606001,0.393999,0.000920
524,0.607833,0.392167,0.000831
525,0.609689,0.390311,0.000750
526,0.611560,0.388440,0.000677
527,0.613438,0.386562,0.000611
528,0.615314,0.384685,0.000552
529,0.617183,0.382817,0.000498
530,0.619036,0.380964,0.000451
531,0.620871,0.379129,0.000408
532,0.622700,0.377299,0.000369
533,0.624541,0.375458,0.000334
534,0.626411,0.373589,0.000302
535,0.628325,0.371675,0.000273
536,0.630296,0.369704,0.000246
537,0.632319,0.367680,0.000222
538,0.634386,0.365614,0.000200
539,0.636484,0.363516,0.000180
540,0.638603,0.361396,0.000163
541,0.640734,0.359265,0.000147
542,0.642876,0.357124,0.000133
543,0.645029,0.354971,0.000120
544,0.647194,0.352806,0.000109
545,0.649372,0.350628,0.000099
546,0.651563,0.348436,0.000089
547,0.653771,0.346229,0.000081
548,0.655996,0.344004,0.000074
549,0.658243,0.341757,0.000067
550,0.660515,0.339484,0.000061
551,0.662821,0.337178,0.000055
552,0.665176,0.334824,0.000050
553,0.667595,0.332405,0.000045
